qid,granite_dense,q2d_granite
1255,0.08163265306122448,0.19999999999999998
1256,0.0,0.0
1257,0.0,0.0
1258,0.0,0.0
1259,1.0,0.046511627906976744
126,0.0,0.0
1260,0.6666666666666666,0.6666666666666666
1261,0.0,0.0
1262,0.0,0.0
1263,0.5,0.42857142857142855
1264,0.2857142857142857,0.2857142857142857
1265,1.0,0.3076923076923077
1266,1.0,1.0
1267,0.625,0.5882352941176471
