retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr
granite_dense,0.44135802469135804,0.2716049382716049,0.2080246913580247,0.12762345679012346,0.23021564341008785,0.3749234304789861,0.45449061398135476,0.5360139046481639,0.44135802469135804,0.41213972384744696,0.4334489356355934,0.45858053097909435,0.5362642073290221
granite_small_dense,0.39969135802469136,0.24176954732510286,0.1814814814814815,0.11280864197530865,0.20675701613201616,0.33217952315174537,0.3989938859151822,0.47452131630372374,0.39969135802469136,0.3660558996210872,0.3816238349694078,0.40630131669144093,0.4842127180090142
bm25,0.2021604938271605,0.12345679012345678,0.09320987654320989,0.06188271604938272,0.09518364865587088,0.17012717649291723,0.21496718302273857,0.2780129849574294,0.2021604938271605,0.1831430721422744,0.1948583687651853,0.21668445500943226,0.27028586125808346
st_dense,0.3425925925925926,0.21965020576131683,0.16666666666666666,0.10509259259259258,0.17091229244007022,0.302537795709092,0.36388723587797656,0.44736260395982624,0.3425925925925926,0.3271197117917693,0.3412822883304126,0.3683468766881778,0.43843817362335874
gte_dense,0.38117283950617287,0.24022633744855965,0.18024691358024694,0.1146604938271605,0.1975375618894137,0.3259351844999993,0.3888355899929974,0.4797711033822145,0.38117283950617287,0.35953666248067123,0.3744981756033254,0.4047320651053906,0.47744157848324514
e5_dense,0.3888888888888889,0.2345679012345679,0.17407407407407408,0.10895061728395063,0.1981248389813205,0.32659895402950956,0.39133534503904877,0.4702663548728363,0.3888888888888889,0.35526090555879514,0.37131760440580974,0.39760863979739025,0.47646972369194585
bge_dense,0.39351851851851855,0.2448559670781893,0.18333333333333332,0.11265432098765432,0.19896380625547294,0.33372221485647413,0.4024808439160292,0.4842068896467045,0.39351851851851855,0.36553954509846126,0.38135872452200714,0.40725555641529115,0.48431069958847744
hybrid_granite_bm25,0.3271604938271605,0.2011316872427983,0.1537037037037037,0.11172839506172841,0.1634895754108717,0.27707290137845697,0.3430616751218603,0.4847509614870726,0.3271604938271605,0.30254219080157513,0.3204219923519934,0.37120874745444443,0.4273460464432687
hybrid_granite_small_bm25,0.3148148148148148,0.18569958847736626,0.14506172839506173,0.10108024691358025,0.15224986347671532,0.2535242535242535,0.3233496184885074,0.444789880900992,0.3148148148148148,0.2802416430246596,0.3005521035927682,0.34256010333045217,0.40379372427983534
granite_rerank,0.44135802469135804,0.2602880658436214,0.19290123456790126,0.11990740740740741,0.23566464399797732,0.36669001009278784,0.4282866653237023,0.506511612530131,0.44135802469135804,0.40503043108843473,0.4185154949399077,0.4437445674761875,0.5245517342739565
granite_small_rerank,0.4305555555555556,0.25874485596707814,0.19104938271604938,0.11805555555555555,0.23073494578124204,0.3645809565948455,0.42196379152397673,0.4976491786676972,0.4305555555555556,0.40083112519633873,0.4128881408224765,0.43776028603936834,0.5153757593572408
hybrid_granite_bm25_rerank,0.43364197530864196,0.2587448559670782,0.19074074074074074,0.11944444444444445,0.23052061107616661,0.3661113063890842,0.4245414136617841,0.5049941228181969,0.43364197530864196,0.4017115901773702,0.4138629994269492,0.44049490916229705,0.5191082451499118
