qid,granite_dense,bm25,hybrid_granite_bm25,convex_hybrid_granite_bm25
PLAIN-1008,0.0,0.0,0.0,0.0
PLAIN-1018,0.576323354912681,0.8701249883466593,0.8205228949141826,0.6528642754944294
PLAIN-102,0.6969383549984332,0.6780494608112012,0.7314470771099789,0.7411902110103873
PLAIN-1028,0.8701249883466593,0.727329844310522,0.8572048559638628,0.8701249883466593
PLAIN-1039,0.388244052766991,0.0,0.14465249243306436,0.2934367834519528
PLAIN-1050,0.3589542101716347,0.3589542101716347,0.3589542101716347,0.3589542101716347
PLAIN-1066,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946
PLAIN-1088,0.5352543167750639,0.5958595188912912,0.642186726668901,0.6300426811446146
PLAIN-1098,0.0,0.0,0.0,0.0
PLAIN-1109,0.0,0.0,0.0,0.0
PLAIN-1119,1.0,1.0,1.0,1.0
PLAIN-112,0.0,0.0,0.0,0.0
PLAIN-1130,0.0,0.0,0.0,0.0
PLAIN-1141,0.7909008953676248,0.8025111649801716,0.8209505234273612,0.7825950999549667
PLAIN-1151,0.3332594386367449,0.2529427027676571,0.4273569456759105,0.31442295467135667
PLAIN-1161,0.0,0.46927872602275644,0.2960819109658652,0.0
PLAIN-1172,0.0,0.30260241349881345,0.30260241349881345,0.10086747116627115
PLAIN-1183,0.606439180544341,0.7467045958894682,0.6470538417566039,0.6651928536555899
PLAIN-1193,0.6969383549984332,0.6281460426238844,0.78180487222265,0.7600791051976192
PLAIN-12,0.06362078819895171,0.521098444712307,0.4990267326507382,0.24618570546556082
PLAIN-1203,0.9305687780632227,0.9363792118010483,0.914856882358379,0.9052116356304493
PLAIN-1214,0.6032621820619528,0.25469837558210445,0.4537425745411855,0.6569815082938864
PLAIN-1225,0.5779050396291792,0.6473362615659566,0.6175852859163219,0.5829393865084944
PLAIN-123,0.6950826685175006,0.3903787400893656,0.5459632948100827,0.6913670548683195
PLAIN-1236,0.6309297535714575,1.0,1.0,1.0
PLAIN-1249,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465
PLAIN-1262,0.9266360779006401,0.5352543167750639,0.6177639991612475,0.8318477135310893
PLAIN-1275,0.0,0.0,0.0,0.0
PLAIN-1288,0.7859162856301584,0.3589542101716347,0.6987957033953602,0.7967610662472993
PLAIN-1299,0.13886244387355454,0.0,0.07839826897867533,0.13886244387355454
PLAIN-1309,0.0,0.1482972305701491,0.10122860821230018,0.11752277470724268
PLAIN-1320,0.843706044175124,0.644824486427155,0.735916889650613,0.843706044175124
PLAIN-133,1.0,1.0,1.0,1.0
PLAIN-1331,0.0,0.0,0.0,0.0
PLAIN-1342,0.42049964660493067,0.0,0.06362078819895171,0.23440650992329987
PLAIN-1353,0.5224955967919311,0.28762634971412726,0.3222722491219547,0.5330752584449808
PLAIN-1363,0.07414861528507455,0.38334277998463445,0.35256832412172806,0.1482972305701491
PLAIN-1374,0.9216017310213247,0.857980942822373,0.933745776545611,0.933745776545611
PLAIN-1387,0.0,0.0,0.0,0.0
PLAIN-1398,0.23504554941448536,0.23504554941448536,0.35256832412172806,0.35256832412172806
PLAIN-1409,0.0,0.0,0.0,0.0
PLAIN-1419,0.642186726668901,0.5670429581667766,0.6994739030813919,0.7034066032439746
PLAIN-1429,0.0,0.0,0.0,0.0
PLAIN-143,0.09478836436955078,0.09478836436955078,0.22009176629808017,0.13886244387355454
PLAIN-1441,0.7222954974312066,0.3398414932237254,0.6177639991612475,0.7909506325094737
PLAIN-1453,0.11004588314904008,0.08514311764162098,0.13886244387355454,0.13886244387355454
PLAIN-1463,0.0,0.0,0.0,0.0
PLAIN-1473,0.0,0.0,0.0,0.0
PLAIN-1485,0.44615333764087994,0.4599715079731103,0.5531464700081437,0.5087403079104241
PLAIN-1496,0.6049444897881109,0.25543736465814,0.4908316849553005,0.5845347002743846
PLAIN-1506,0.0,0.0,0.0,0.0
PLAIN-1516,0.0,0.0,0.0,0.0
PLAIN-1527,0.0,0.0,0.0,0.0
PLAIN-153,0.5423640154200349,0.23047380976071707,0.4826366372598628,0.3633412872595719
PLAIN-1537,0.3471357245055706,0.5100691314582919,0.4412851793128928,0.21222636597291458
PLAIN-1547,0.0,0.0,0.0,0.0
PLAIN-1557,0.5087403079104241,0.5531464700081437,0.5531464700081437,0.5531464700081437
PLAIN-1568,0.0,0.0,0.0,0.0
PLAIN-1579,0.0,0.0,0.0,0.0
PLAIN-1590,0.11004588314904008,0.0,0.07839826897867533,0.11004588314904008
PLAIN-1601,0.4346298575932762,0.0,0.22476126319537007,0.4346298575932762
PLAIN-1611,0.0,0.0,0.0,0.0
PLAIN-1621,0.0,0.0,0.0,0.0
PLAIN-1635,0.6086182388744239,0.43735247915031,0.5173633627401372,0.5867945846769145
PLAIN-1645,0.0,0.0,0.0,0.0
PLAIN-165,0.0,0.0,0.0,0.0
PLAIN-1656,0.1736666713479918,0.20483424751859086,0.18340980524840012,0.1736666713479918
PLAIN-1667,0.25264076317831785,0.15514952592378176,0.3042760880852874,0.3371833055099211
PLAIN-1679,0.7089004727756366,0.13347537859706934,0.4784013220692193,0.6680335253086299
PLAIN-1690,0.5289638450374726,0.16421958630632802,0.42257499837058643,0.3222722491219547
PLAIN-1700,0.5105898475546079,0.33895354522071425,0.44572059313847134,0.5296890434038143
PLAIN-1710,0.2811784572776439,0.4353779326463506,0.5653295545122432,0.4069321598492505
PLAIN-1721,0.10972431200457415,0.12652791809394925,0.16347782479468276,0.26658838319894673
PLAIN-1731,0.6637908580929228,0.7721596254947203,0.6500332220485792,0.6868037996043077
PLAIN-1741,0.1499525158487472,0.10704185718492083,0.16113612456097734,0.15758127523849183
PLAIN-175,0.22009176629808017,0.22009176629808017,0.22009176629808017,0.22009176629808017
PLAIN-1752,0.9652843890316114,0.9260852545422736,0.9334739949321357,0.9633180389503199
PLAIN-1762,0.2825761277563703,0.3336412091531361,0.45564692818668123,0.3642506966453403
PLAIN-1772,0.23840405768933337,0.14397047852848383,0.21565843567379087,0.320474568081704
PLAIN-1784,0.9363792118010483,0.7849818707050383,0.800693766409882,0.9363792118010483
PLAIN-1794,0.3180396301625113,0.15423215925316425,0.24445218882151876,0.3215682684481009
PLAIN-1805,0.31226233291544175,0.37456050428247883,0.24435274837880966,0.34089558702943673
PLAIN-1817,0.4537425745411855,0.3589542101716347,0.42838543210841196,0.4537425745411855
PLAIN-1827,0.16961510979410432,0.10359825042259051,0.11518960751715446,0.15965296325881012
PLAIN-1837,0.5998254955960036,0.1940955508805761,0.540450335584067,0.5998254955960036
PLAIN-1847,0.49912026938777576,0.28952298823485745,0.40067051810063,0.517839100752713
PLAIN-1857,0.8974416663360282,0.22009176629808017,0.471712692609417,0.8338208781370765
PLAIN-186,0.09478836436955078,0.22009176629808017,0.13886244387355454,0.11004588314904008
PLAIN-1867,0.933745776545611,0.4440973278132557,0.5326208815196265,0.7909506325094737
PLAIN-1877,0.6317299614276957,0.6009053751727895,0.5942330600063921,0.6314492502820491
PLAIN-1887,0.696162268139923,0.43231813227099475,0.4440973278132557,0.6172839611614819
PLAIN-1897,0.24655055544758614,0.1681522864689108,0.17993148201117176,0.2578753740644926
PLAIN-1909,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831
PLAIN-1919,0.4443059129387836,0.38225200651112173,0.2882001116838787,0.3649129915922728
PLAIN-1929,0.7628045350235669,0.11004588314904008,0.34301849170611365,0.7248155805668386
PLAIN-1940,0.41528076708874123,0.22009176629808017,0.22009176629808017,0.30523488393970116
PLAIN-1950,0.5562095200447539,0.1890570933316362,0.3995312045679774,0.5285827475876673
PLAIN-196,0.0,0.06943122193677727,0.06943122193677727,0.0
PLAIN-1962,0.6708298207508385,0.5243615183777302,0.6074363483752961,0.6263380278851488
PLAIN-1972,0.3570764765963919,0.17673466814601568,0.3340514446642156,0.28952298823485745
PLAIN-1983,0.7899521877203068,0.34062143532990763,0.5186733033516749,0.6833871876675457
PLAIN-1995,0.7654291710816226,0.45545502446461517,0.5415829507547317,0.7654291710816226
PLAIN-2,0.0,0.0,0.0,0.0
PLAIN-2009,0.501497501605074,0.5560371451169083,0.5904716751396284,0.6157270420816165
PLAIN-2019,0.4050322018673231,0.0,0.232361176087404,0.28181525414637204
PLAIN-2030,0.32336634959917104,0.3899358445195752,0.4275785953734856,0.4626394309552602
PLAIN-2040,0.4521747390582773,0.39744165090973377,0.3868276471365608,0.45486672323617233
PLAIN-2051,0.8630152897016883,0.6371523797895856,0.7125523635307982,0.8630152897016883
PLAIN-2061,0.424926013816671,0.40853591842579556,0.4690000933206748,0.4537425745411855
PLAIN-207,0.34973201611667765,0.0,0.1913164224125581,0.325936251762025
PLAIN-2071,0.0945285466658181,0.15905431817566307,0.2497070028549859,0.0945285466658181
PLAIN-2081,0.0,0.05854439592831931,0.07078380180254001,0.0
PLAIN-2092,0.1215432127090705,0.0,0.0,0.12737140874229602
PLAIN-2102,0.4030302838010049,0.31939394323979897,0.4030302838010049,0.4030302838010049
PLAIN-2113,0.0,0.0,0.0,0.0
PLAIN-2124,0.4379165285089752,0.0,0.12687550918043283,0.38062652754129855
PLAIN-2134,1.0,1.0,1.0,1.0
PLAIN-2145,0.08442111803551768,0.0732095274674965,0.10907458963273321,0.07989569279756416
PLAIN-2156,0.0,0.0,0.0,0.0
PLAIN-2167,0.12025967902718647,0.13956838328637605,0.13956838328637605,0.1285120859663631
PLAIN-217,0.5541432109622958,0.3589542101716347,0.42520843362602373,0.5271064966405455
PLAIN-2177,0.0,0.10026710274415573,0.09382844813642036,0.0
PLAIN-2187,0.47842151728792726,0.3589542101716347,0.42257499837058643,0.40995091484653445
PLAIN-2197,0.3438685520001376,0.20436662668128655,0.3065499400219298,0.3438685520001376
PLAIN-2209,0.0,0.0,0.0,0.0
PLAIN-2220,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594
PLAIN-2230,0.0,0.0,0.0,0.0
PLAIN-2240,0.0,0.0,0.0,0.0
PLAIN-2250,0.3273949503887395,0.3273949503887395,0.3273949503887395,0.3273949503887395
PLAIN-2261,0.5494063797702666,0.0,0.3629524241193342,0.5435741117837133
PLAIN-227,0.0,0.0,0.0,0.0
PLAIN-2271,0.43122038713502525,0.49354571029098443,0.43122038713502525,0.43122038713502525
PLAIN-2281,0.2640681225725909,0.3065735963827292,0.38685280723454163,0.3065735963827292
PLAIN-2291,0.38685280723454163,0.19342640361727081,0.3065735963827292,0.38685280723454163
PLAIN-23,0.1746103421078289,0.16195671984435944,0.2531204573537867,0.22461013156664808
PLAIN-2301,0.0,0.0,0.0,0.0
PLAIN-2311,1.0,0.3562071871080222,1.0,1.0
PLAIN-2321,0.0,0.0,0.0,0.0
PLAIN-2332,0.7039180890341347,0.7653606369886217,0.7653606369886217,0.7653606369886217
PLAIN-2343,0.0,0.0,0.0,0.0
PLAIN-2354,0.6039071644781281,0.43734888382569426,0.7653606369886217,0.8710785440003369
PLAIN-2364,1.0,0.6309297535714575,1.0,1.0
PLAIN-2375,0.5109559939712153,0.38685280723454163,0.6131471927654584,0.5249810332008933
PLAIN-238,0.7280855459907165,0.5363559634917963,0.5368103404171507,0.7280855459907165
PLAIN-2386,0.3009776153417087,0.4770382338730848,0.4770382338730848,0.4770382338730848
PLAIN-2396,0.0,0.0,0.0,0.0
PLAIN-2408,0.4617829218766393,0.23214740266135997,0.5817914129673962,0.6230876559119081
