qid,granite_dense,gte_dense,bm25
1087,0.0,0.0,0.0
1088,1.0,1.0,0.0
1089,0.0,0.0,0.0
109,1.0,1.0,1.0
1090,0.0,0.0,0.0
1091,1.0,1.0,1.0
1092,0.0,0.0,0.0
1093,1.0,1.0,1.0
1094,1.0,1.0,1.0
1095,1.0,1.0,1.0
1096,1.0,1.0,0.0
1097,0.0,0.0,0.0
1098,1.0,1.0,1.0
1099,1.0,1.0,1.0
11,1.0,1.0,1.0
110,0.0,0.0,0.0
1100,0.0,0.0,0.0
1101,1.0,1.0,0.0
1102,1.0,1.0,0.0
1103,1.0,1.0,0.0
1104,1.0,0.0,1.0
1105,1.0,1.0,1.0
1106,1.0,1.0,1.0
1107,1.0,0.0,1.0
1108,1.0,1.0,0.0
1109,1.0,1.0,1.0
111,1.0,1.0,1.0
1110,1.0,1.0,1.0
1111,1.0,1.0,1.0
1112,0.0,0.0,0.0
1113,0.0,0.0,0.0
1114,1.0,1.0,1.0
1115,0.0,0.0,0.0
1116,0.0,0.0,0.0
1117,1.0,1.0,1.0
1118,1.0,1.0,0.0
1119,1.0,1.0,0.0
112,0.0,0.0,0.0
1120,1.0,1.0,1.0
1121,0.0,0.0,0.0
1122,1.0,1.0,1.0
1123,1.0,1.0,0.0
1124,0.0,0.0,0.0
1125,1.0,1.0,1.0
1126,0.0,0.0,0.0
1127,1.0,0.0,0.0
1128,1.0,1.0,1.0
1129,0.0,0.0,0.0
113,1.0,1.0,0.0
1130,1.0,1.0,1.0
1131,0.0,0.0,0.0
1132,1.0,1.0,1.0
1133,0.0,0.0,0.0
1134,1.0,1.0,1.0
1135,0.0,0.0,0.0
1136,1.0,1.0,1.0
1137,1.0,1.0,1.0
1138,1.0,1.0,0.0
1139,0.0,0.0,0.0
114,1.0,1.0,1.0
1140,1.0,1.0,1.0
1141,1.0,1.0,0.0
1142,1.0,1.0,0.0
1143,1.0,0.0,0.0
1144,0.0,1.0,1.0
1145,1.0,1.0,0.0
1146,0.0,0.0,0.0
1147,0.0,0.0,0.0
1148,1.0,1.0,1.0
1149,1.0,1.0,0.0
115,1.0,1.0,1.0
1150,1.0,1.0,1.0
1151,0.0,0.0,0.0
1152,1.0,1.0,1.0
1153,0.0,0.0,0.0
1154,1.0,1.0,1.0
1155,1.0,0.0,1.0
1156,1.0,1.0,1.0
1157,0.0,0.0,0.0
1158,0.0,0.0,0.0
1159,0.0,0.0,1.0
116,1.0,1.0,0.0
1160,1.0,0.0,1.0
1161,0.0,0.0,0.0
1162,1.0,0.0,1.0
1163,1.0,1.0,0.0
1164,0.0,0.0,0.0
1165,0.0,0.0,0.0
1166,1.0,1.0,1.0
1167,1.0,1.0,1.0
1168,0.0,0.0,0.0
1169,0.0,0.0,0.0
117,1.0,1.0,1.0
1170,0.0,1.0,0.0
1171,1.0,1.0,1.0
1172,0.0,0.0,0.0
1173,1.0,1.0,1.0
1174,1.0,1.0,0.0
1175,0.0,0.0,0.0
1176,0.0,0.0,0.0
1177,0.0,0.0,0.0
1178,0.0,0.0,0.0
1179,0.0,0.0,0.0
118,0.0,0.0,0.0
1180,1.0,1.0,0.0
1181,0.0,0.0,1.0
1182,0.0,1.0,0.0
1183,1.0,1.0,0.0
1184,0.0,1.0,0.0
1185,1.0,1.0,1.0
1186,0.0,0.0,0.0
1187,1.0,1.0,1.0
1188,1.0,1.0,1.0
1189,1.0,1.0,1.0
119,0.0,1.0,0.0
1190,1.0,1.0,1.0
1191,0.0,0.0,0.0
1192,1.0,1.0,0.0
1193,0.0,0.0,0.0
1194,0.0,1.0,0.0
1195,0.0,1.0,1.0
1196,0.0,0.0,0.0
1197,1.0,0.0,1.0
1198,0.0,0.0,0.0
1199,1.0,1.0,1.0
12,0.0,0.0,0.0
120,0.0,0.0,0.0
1200,1.0,1.0,1.0
