qid,granite_dense,granite_small_dense,bm25,st_dense,gte_dense,e5_dense,bge_dense,hybrid_granite_bm25,hybrid_granite_small_bm25,granite_rerank,granite_small_rerank,hybrid_granite_bm25_rerank
PLAIN-1008,0.0,0.21840743681816419,0.0,0.2640681225725909,0.0,0.0,0.20438239758848611,0.0,0.0,0.0,0.0,0.0
PLAIN-1018,0.576323354912681,0.388244052766991,0.8701249883466593,0.5887498202463202,0.4569970750177365,0.7353797772725617,0.5063209639325833,0.8205228949141826,0.756902106715231,0.5684579545875155,0.5716349530699038,0.6378891765242928
PLAIN-102,0.6969383549984332,0.8572048559638628,0.6780494608112012,0.762416491594312,0.7542686714597936,0.6835381846158709,0.8165901947515999,0.7314470771099789,0.6969383549984332,0.7702043899253147,0.7702043899253147,0.7702043899253147
PLAIN-1028,0.8701249883466593,0.8630152897016883,0.727329844310522,0.6489315753318465,0.8701249883466593,0.7702043899253147,0.793584067764911,0.8572048559638628,0.793584067764911,0.7967610662472993,0.7967610662472993,0.7967610662472993
PLAIN-1039,0.388244052766991,0.2934556883974402,0.0,0.3932783996463063,0.1731866333482261,0.36885567213865283,0.07336392209936005,0.14465249243306436,0.07839826897867533,0.3499667779514209,0.3557772116892465,0.3499667779514209
PLAIN-1050,0.3589542101716347,0.4690000933206748,0.3589542101716347,0.3589542101716347,0.3589542101716347,0.39375843764607193,0.3589542101716347,0.3589542101716347,0.43231813227099475,0.33013764944712026,0.33013764944712026,0.33013764944712026
PLAIN-1066,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.3125291152215463,0.31833954895937183,0.2489083270225946
PLAIN-1088,0.5352543167750639,0.42520843362602373,0.5958595188912912,0.43735247915031,0.3589542101716347,0.5321408435198608,0.22009176629808017,0.642186726668901,0.6172839611614819,0.5084738176924019,0.4341754806679218,0.5116508161747901
PLAIN-1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06362078819895171,0.06362078819895171,0.0
PLAIN-1119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLAIN-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1130,0.0,0.0,0.0,0.0,0.0,0.06362078819895171,0.07839826897867533,0.0,0.0,0.07839826897867533,0.07839826897867533,0.07839826897867533
PLAIN-1141,0.7909008953676248,0.8234363783089818,0.8025111649801716,0.6981851012142634,0.827694616038121,0.8155941175198981,0.7490281543454015,0.8209505234273612,0.8144090471574978,0.865209872447443,0.860230098979478,0.8698991034265104
PLAIN-1151,0.3332594386367449,0.3332594386367449,0.2529427027676571,0.21078558563971425,0.3008855942920819,0.2865826258153645,0.31442295467135667,0.4273569456759105,0.4273569456759105,0.12647135138382856,0.12647135138382856,0.12647135138382856
PLAIN-1161,0.0,0.0,0.46927872602275644,0.0,0.4632423659320675,0.46927872602275644,0.2960819109658652,0.2960819109658652,0.46927872602275644,0.0,0.23463936301137822,0.16716045496620227
PLAIN-1172,0.0,0.13032376591037062,0.30260241349881345,0.0,0.30260241349881345,0.10086747116627115,0.13032376591037062,0.30260241349881345,0.30260241349881345,0.15130120674940672,0.13032376591037062,0.15130120674940672
PLAIN-1183,0.606439180544341,0.5289638450374726,0.7467045958894682,0.6530488081313035,0.52129606290272,0.5384313152574521,0.5884674004369673,0.6470538417566039,0.5734923014668308,0.45166722277552973,0.44510108735750953,0.5184650094568697
PLAIN-1193,0.6969383549984332,0.857980942822373,0.6281460426238844,0.7314470771099789,0.8454256604216017,0.6339753813071974,0.7116179486056782,0.78180487222265,0.7788065869851872,0.6500332220485792,0.6500332220485792,0.6500332220485792
PLAIN-12,0.06362078819895171,0.20641593223508903,0.521098444712307,0.2082936658103318,0.3757677525932109,0.31328481690174087,0.4409203293308675,0.4990267326507382,0.3316936730892071,0.44006674047819433,0.3783033006761697,0.44006674047819433
PLAIN-1203,0.9305687780632227,0.9216017310213247,0.9363792118010483,0.9052116356304493,0.8899541168509599,0.9305687780632227,1.0,0.914856882358379,0.8899541168509599,0.8643145546088337,0.8643145546088337,0.8643145546088337
PLAIN-1214,0.6032621820619528,0.48331483694589444,0.25469837558210445,0.6403089930936581,0.4131075281506069,0.6399441431116327,0.43780685607566444,0.4537425745411855,0.40030566811860463,0.41320541532308547,0.41320541532308547,0.41320541532308547
PLAIN-1225,0.5779050396291792,0.5779050396291792,0.6473362615659566,0.2578753740644926,0.5704044892860389,0.43808927588501717,0.45841207143847534,0.6175852859163219,0.5926825204089028,0.4073174795910971,0.4073174795910971,0.4073174795910971
PLAIN-123,0.6950826685175006,0.6975975228401827,0.3903787400893656,0.6975975228401827,0.7008168501440504,0.6182528989847442,0.6383475551737928,0.5459632948100827,0.5459632948100827,0.7008168501440504,0.7008168501440504,0.7008168501440504
PLAIN-1236,0.6309297535714575,0.0,1.0,0.0,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,1.0,1.0,1.0
PLAIN-1249,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.642186726668901,0.642186726668901,0.642186726668901
PLAIN-1262,0.9266360779006401,0.826813366651774,0.5352543167750639,0.7877736340270854,0.8364586133797037,1.0,0.7695261902392829,0.6177639991612475,0.7093753650484099,0.8318477135310893,0.8415908474314976,0.8318477135310893
PLAIN-1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1288,0.7859162856301584,0.8263333286520083,0.3589542101716347,0.4636440365082036,0.7849818707050383,0.6835381846158709,0.6840182226156365,0.6987957033953602,0.5797827732044221,0.8701249883466593,0.8701249883466593,0.8701249883466593
PLAIN-1299,0.13886244387355454,0.06362078819895171,0.0,0.0,0.13886244387355454,0.0,0.0,0.07839826897867533,0.0,0.13886244387355454,0.11004588314904008,0.13886244387355454
PLAIN-1309,0.0,0.21875138291954288,0.1482972305701491,0.23504554941448536,0.06794340091829075,0.0,0.0,0.10122860821230018,0.2084508053262215,0.23504554941448536,0.23504554941448536,0.23504554941448536
PLAIN-1320,0.843706044175124,0.644824486427155,0.644824486427155,0.5846156829012061,0.8829374068620365,0.644824486427155,0.8706086854269929,0.735916889650613,0.644824486427155,0.644824486427155,0.735916889650613,0.732296200528563
PLAIN-133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLAIN-1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1342,0.42049964660493067,0.4230293752959408,0.0,0.2114502791144043,0.17630010660342912,0.4448530294934502,0.22784037450527975,0.06362078819895171,0.0,0.0,0.0,0.0
PLAIN-1353,0.5224955967919311,0.5743371894486219,0.28762634971412726,0.6274092458891772,0.46081298306235335,0.5637884576902256,0.4327725091963492,0.3222722491219547,0.39375843764607193,0.530263109944618,0.530263109944618,0.530263109944618
PLAIN-1363,0.07414861528507455,0.0,0.38334277998463445,0.33627415762678553,0.23504554941448536,0.23504554941448536,0.23504554941448536,0.35256832412172806,0.35256832412172806,0.23504554941448536,0.0,0.38334277998463445
PLAIN-1374,0.9216017310213247,0.8454256604216017,0.857980942822373,0.6020521034564038,0.727329844310522,0.8643145546088337,0.8389574121760602,0.933745776545611,0.8701249883466593,0.866947989864271,0.866947989864271,0.866947989864271
PLAIN-1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1398,0.23504554941448536,0.23504554941448536,0.23504554941448536,0.08372491399919346,0.14209201620336528,0.1882785354283233,0.3567480358963706,0.35256832412172806,0.38334277998463445,0.38334277998463445,0.38334277998463445,0.38334277998463445
PLAIN-1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
