retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,ms_per_query
granite_dense,0.44135802469135804,0.2716049382716049,0.2080246913580247,0.12762345679012346,0.23021564341008785,0.3749234304789861,0.45449061398135476,0.5360139046481639,0.44135802469135804,0.41213972384744696,0.4334489356355934,0.45858053097909435,0.5362642073290221,50.480401841025326
bm25,0.2021604938271605,0.12345679012345678,0.09320987654320989,0.06188271604938272,0.09518364865587088,0.17012717649291723,0.21496718302273857,0.2780129849574294,0.2021604938271605,0.1831430721422744,0.1948583687651853,0.21668445500943226,0.27028586125808346,296.26188567123825
splade,0.3395061728395062,0.20884773662551437,0.14969135802469136,0.09521604938271605,0.17965469886766186,0.2992803706924077,0.3469148392759504,0.4231109939443273,0.3395061728395062,0.3212458332785521,0.33024681126773386,0.35586864635700105,0.42633928571428564,53.37219056942828
convex_hybrid_granite_bm25,0.4382716049382716,0.26954732510288065,0.2009259259259259,0.12623456790123458,0.22541699555588443,0.3748738273043829,0.438992377649785,0.5294497512090104,0.4382716049382716,0.4072810325567702,0.42221884620204503,0.4523093118725488,0.5306351655888693,341.852773388921
convex_hybrid_granite_splade,0.45524691358024694,0.2788065843621399,0.21111111111111114,0.1287037037037037,0.23628743941243938,0.387531822601267,0.4623138307166085,0.5401088280717911,0.45524691358024694,0.4230229396289309,0.44250657951397093,0.4664994607209487,0.5497183029590438,99.03803688418667
