retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,ms_per_query
granite_dense,0.6433333333333333,0.2855555555555555,0.18999999999999997,0.10099999999999999,0.6148333333333333,0.7832222222222223,0.8397777777777778,0.8925555555555555,0.6433333333333333,0.7251789663246091,0.7487650474392256,0.7665175315928656,0.7298968253968254,35.10266760325369
bm25,0.51,0.23777777777777775,0.15199999999999997,0.08299999999999999,0.49416666666666664,0.6733333333333333,0.7051111111111111,0.7556666666666666,0.51,0.6045619892237521,0.6179867060839919,0.6359912686911698,0.6041415343915344,21.26496244648782
splade,0.5666666666666667,0.24999999999999994,0.16799999999999998,0.09233333333333332,0.5431666666666666,0.6906111111111112,0.7571111111111111,0.813,0.5666666666666667,0.6426565428452409,0.6695756888426097,0.6898831416596142,0.656297619047619,13.850146836678809
convex_hybrid_granite_bm25,0.6233333333333333,0.2744444444444444,0.1873333333333333,0.10166666666666664,0.599,0.7575555555555555,0.8409444444444444,0.8997777777777778,0.6233333333333333,0.7045037150871254,0.7388163678096616,0.7593505909457091,0.7183121693121692,48.12044312013313
convex_hybrid_granite_splade,0.6566666666666666,0.28,0.18799999999999997,0.10199999999999998,0.6255000000000001,0.7698888888888888,0.8362222222222222,0.8986666666666667,0.6566666666666666,0.7222416164264343,0.750119332116526,0.7720949574510646,0.7365542328042328,38.216481973261885
