alpha,ndcg@10
0.0,0.34705179438096934
0.05,0.35133419232588703
0.1,0.35501037117898715
0.15,0.3594801679216646
0.2,0.3639043644411768
0.25,0.3663035499833901
0.3,0.3687056418845353
0.35,0.37264349561306565
0.4,0.3769016509399135
0.45,0.3811452285305402
0.5,0.38577313242461775
0.55,0.38964047400710894
0.6,0.3912181099934742
0.65,0.38865980065475614
0.7,0.387813471750372
0.75,0.3884786641257877
0.8,0.3887997651550652
0.85,0.3860487973894202
0.9,0.3831388710647052
0.95,0.3806493020252418
1.0,0.3759007340191653
