qid,granite_dense,bm25,hybrid_granite_bm25,convex_hybrid_granite_bm25
10034,1.0,0.0,0.5,1.0
10039,0.0,0.0,0.0,0.0
10109,0.3065735963827292,0.0,0.18457569677956817,0.3065735963827292
10122,0.20438239758848611,0.7903864795495061,0.5109559939712153,0.2640681225725909
10136,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
10137,0.43067655807339306,0.0,0.3333333333333333,0.38685280723454163
10152,0.48247555939075504,0.21840743681816419,0.6131471927654584,0.6052602440527057
10183,0.6309297535714575,1.0,1.0,0.6309297535714575
10213,1.0,0.0,0.38685280723454163,1.0
10246,0.3973220069685352,0.0,0.2856436410275446,0.3764290720714305
10267,1.0,0.38685280723454163,0.5,1.0
104,1.0,0.8315546295836225,1.0,1.0
10414,0.0,0.0,0.0,0.0
10447,0.3562071871080222,0.0,0.0,0.3562071871080222
10462,0.6052602440527057,0.5437713091520254,0.6509209298071326,0.6509209298071326
10482,0.3010299956639812,0.0,0.0,0.0
10497,0.0,0.0,0.0,0.0
10526,0.38685280723454163,1.0,0.5,0.38685280723454163
10547,1.0,0.6131471927654584,0.8315546295836225,1.0
10558,0.20210734650054757,0.0,0.1480409554829326,0.33775931993299535
10596,0.0,0.0,0.0,0.0
106,0.18154179253735267,0.15642624200758548,0.2960819109658652,0.20210734650054757
10601,0.6364391809889587,0.13565197343244778,0.3228087653971817,0.6364391809889587
10628,0.6131471927654584,0.0,0.3065735963827292,0.6131471927654584
10639,1.0,0.38685280723454163,0.6309297535714575,1.0
10645,0.6309297535714575,0.43067655807339306,1.0,1.0
10674,0.8503449055347546,0.6131471927654584,0.6131471927654584,0.8065735963827293
10710,0.8451850618939637,0.6364391809889587,0.8519590445170673,0.8710785440003369
10734,0.0,0.0,0.0,0.0
1074,1.0,0.43067655807339306,1.0,1.0
10792,0.18154179253735267,0.0,0.0,0.16716045496620227
10808,0.38685280723454163,0.0,0.0,0.38685280723454163
10809,0.9060254355346823,1.0,1.0,1.0
10812,0.0,0.0,0.0,0.0
10827,0.3065735963827292,0.0,0.19342640361727081,0.3065735963827292
10845,0.0,0.16716045496620227,0.0,0.0
1085,1.0,1.0,1.0,1.0
109,0.0,0.0,0.0,0.0
1090,1.0,0.0,0.3333333333333333,1.0
10912,1.0,0.0,0.43067655807339306,1.0
10932,0.24630238874073,0.0,0.13905617951077562,0.19519002499605084
10975,0.0,0.0,0.0,0.0
10979,0.0,0.0,0.0,0.0
10994,0.6131471927654584,0.7903864795495061,0.8175295903539445,0.6131471927654584
11039,0.5706417189553201,0.0,0.40298313359773236,0.8772153153380493
11054,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
11088,0.3903800499921017,0.3903800499921017,0.3903800499921017,0.3903800499921017
1150,0.6713860725233041,0.0,0.34337431936037655,0.6713860725233041
1157,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.7653606369886217
1159,0.23599633571930026,0.5585075862632192,0.33424620450682646,0.2429718246796358
1198,0.14606834984270645,0.11305340175787204,0.4412576003965278,0.16958010263680806
1230,0.18154179253735267,0.46927872602275644,0.46927872602275644,0.20210734650054757
1281,0.0,0.0,0.0,0.0
1284,0.31546487678572877,0.2890648263178879,0.43067655807339306,0.3333333333333333
1297,0.0,0.19342640361727081,0.3065735963827292,0.0
1306,0.5,0.38685280723454163,0.5,0.5
1309,0.19092086617893467,0.0,0.10778915452451093,0.19092086617893467
1310,0.2890648263178879,0.0,0.0,0.0
1321,1.0,0.9828920819566879,1.0,1.0
1322,0.38685280723454163,0.6309297535714575,1.0,0.38685280723454163
1391,0.7668091220635322,0.123151194370365,0.24630238874073,0.7598336331031966
1393,1.0,1.0,1.0,1.0
1415,0.0,0.0,0.0,0.0
1416,1.0,0.2640681225725909,0.8503449055347546,1.0
1441,0.0,0.0,0.0,0.0
1451,1.0,1.0,1.0,1.0
1469,0.5,0.0,0.3562071871080222,0.5
15,1.0,0.0,0.6309297535714575,1.0
1530,0.5773584151532217,0.10209739512291163,0.3120255505658846,0.591176585485452
1670,0.8529278650606567,0.23463936301137822,0.5881601264058984,0.8710785440003369
1676,0.38685280723454163,0.0,0.0,0.38685280723454163
