qid,granite_dense
0,1.0
1,1.0
10,1.0
100,1.0
1000,1.0
1001,1.0
1002,0.875
1003,1.0
1004,1.0
1005,1.0
1006,1.0
1007,0.625
1008,1.0
1009,0.0
101,1.0
1010,1.0
1011,1.0
1012,1.0
1013,0.4
1014,1.0
1015,1.0
1016,1.0
1017,1.0
1018,1.0
1019,1.0
102,1.0
1020,1.0
1021,1.0
1022,0.85
1023,1.0
1024,1.0
1025,1.0
1026,1.0
1027,1.0
1028,0.9166666666666666
1029,1.0
103,1.0
1030,1.0
1031,1.0
1032,1.0
1033,1.0
1034,1.0
1035,1.0
1036,1.0
1037,1.0
1038,1.0
1039,0.8571428571428571
104,1.0
1040,0.0
1041,1.0
1042,0.0
1043,1.0
1044,1.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
1049,1.0
105,1.0
1050,0.5373134328358209
1051,1.0
1052,1.0
1053,1.0
1054,0.5
1055,1.0
1056,1.0
1057,0.6470588235294118
1058,1.0
1059,0.5
106,0.5
1060,1.0
1061,1.0
1062,1.0
1063,1.0
1064,1.0
1065,1.0
1066,0.8181818181818182
1067,1.0
1068,1.0
1069,1.0
107,1.0
1070,0.8
1071,1.0
1072,0.3333333333333333
1073,0.0
1074,0.6666666666666666
1075,0.0
1076,1.0
1077,1.0
1078,1.0
1079,0.8181818181818182
108,1.0
1080,1.0
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,1.0
1086,1.0
1087,1.0
1088,0.0
1089,0.5
109,1.0
1090,1.0
1091,1.0
1092,1.0
1093,1.0
1094,0.9565217391304348
1095,1.0
1096,1.0
1097,1.0
1098,0.8888888888888888
1099,1.0
11,0.9473684210526315
110,1.0
1100,0.5384615384615384
1101,1.0
1102,1.0
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1107,1.0
1108,1.0
1109,1.0
111,1.0
1110,1.0
1111,1.0
1112,0.5
1113,0.0
1114,1.0
1115,1.0
1116,0.0
1117,1.0
1118,1.0
1119,1.0
112,1.0
1120,1.0
1121,1.0
1122,1.0
1123,1.0
1124,1.0
1125,1.0
1126,0.0
1127,1.0
1128,0.875
1129,1.0
113,1.0
1130,1.0
1131,0.3333333333333333
1132,1.0
1133,1.0
1134,0.9
1135,1.0
1136,1.0
1137,1.0
1138,1.0
1139,1.0
114,0.5
1140,1.0
1141,0.6666666666666666
1142,1.0
1143,0.7142857142857143
1144,0.5555555555555556
1145,0.5
1146,1.0
1147,1.0
1148,1.0
1149,1.0
115,1.0
1150,1.0
1151,1.0
1152,1.0
1153,1.0
1154,0.5625
1155,1.0
1156,0.5
1157,1.0
1158,1.0
1159,1.0
116,1.0
1160,0.9166666666666666
1161,1.0
1162,1.0
1163,1.0
1164,1.0
1165,1.0
1166,1.0
1167,1.0
1168,1.0
1169,1.0
117,1.0
1170,1.0
1171,1.0
1172,0.0
1173,1.0
1174,1.0
1175,1.0
1176,1.0
1177,1.0
1178,0.5
1179,1.0
118,1.0
1180,1.0
1181,0.6666666666666666
1182,1.0
1183,0.9375
1184,1.0
1185,1.0
1186,1.0
1187,1.0
1188,1.0
1189,1.0
119,1.0
1190,1.0
1191,1.0
1192,1.0
1193,0.75
1194,0.5238095238095238
1195,1.0
1196,0.5882352941176471
1197,1.0
1198,1.0
1199,1.0
12,1.0
120,1.0
1200,1.0
1201,1.0
1202,1.0
1203,1.0
1204,1.0
1205,1.0
1206,1.0
1207,1.0
1208,0.7894736842105263
1209,1.0
121,1.0
1210,1.0
1211,1.0
1212,1.0
1213,1.0
1214,1.0
1215,1.0
1216,1.0
1217,1.0
1218,1.0
1219,1.0
122,1.0
1220,1.0
1221,1.0
1222,1.0
1223,1.0
1224,1.0
1225,1.0
1226,1.0
1227,1.0
1228,1.0
1229,0.48484848484848486
123,1.0
1230,1.0
1231,1.0
1232,0.5319148936170213
1233,1.0
1234,1.0
1235,1.0
1236,1.0
1237,1.0
1238,0.5
1239,1.0
124,0.7777777777777778
1240,1.0
1241,1.0
1242,0.0
1243,0.3333333333333333
1244,1.0
1245,1.0
1246,1.0
1247,1.0
1248,1.0
1249,1.0
125,1.0
1250,1.0
1251,1.0
1252,1.0
1253,1.0
1254,0.8333333333333334
1255,0.45454545454545453
1256,1.0
1257,1.0
1258,1.0
1259,1.0
126,1.0
1260,1.0
1261,1.0
1262,0.3076923076923077
1263,0.5
1264,0.36363636363636365
1265,1.0
1266,1.0
1267,1.0
