qid,granite_dense,gte_dense,bm25
0,0.03125,0.1,0.04040404040404041
1,0.0909090909090909,0.12,0.10714285714285715
10,0.017699115044247787,0.02150537634408602,0.05555555555555556
100,0.05882352941176471,0.05882352941176471,0.0851063829787234
1000,0.12121212121212122,0.1142857142857143,0.0689655172413793
1001,0.0,0.0,0.0
1002,0.029411764705882356,0.02702702702702703,0.022988505747126436
1003,0.049999999999999996,0.13636363636363635,0.049999999999999996
1004,0.04166666666666667,0.0,0.0
1005,0.0,0.047619047619047616,0.024999999999999998
1006,0.028169014084507043,0.03571428571428572,0.02985074626865672
1007,0.020618556701030924,0.022727272727272724,0.04081632653061225
1008,0.018518518518518517,0.01941747572815534,0.029411764705882353
1009,0.0,0.0,0.0
101,0.09302325581395349,0.1,0.030303030303030307
1010,0.02197802197802198,0.021052631578947368,0.03076923076923077
1011,0.13333333333333333,0.08163265306122448,0.125
1012,0.05714285714285715,0.03418803418803419,0.0
1013,0.0,0.0,0.0
1014,0.0,0.0,0.0
1015,0.0,0.0,0.0
1016,0.0851063829787234,0.05194805194805195,0.059701492537313446
1017,0.0,0.0689655172413793,0.0
1018,0.03333333333333333,0.05128205128205127,0.0
1019,0.05405405405405406,0.08695652173913045,0.0
102,0.14814814814814814,0.15384615384615385,0.14814814814814814
1020,0.07692307692307693,0.02247191011235955,0.039999999999999994
1021,0.02666666666666666,0.06349206349206349,0.028169014084507043
1022,0.02197802197802198,0.0,0.0
1023,0.04081632653061225,0.06451612903225806,0.04081632653061225
1024,0.0625,0.0909090909090909,0.047619047619047616
1025,0.04878048780487806,0.05882352941176471,0.0392156862745098
1026,0.0,0.0,0.0
1027,0.05555555555555556,0.0392156862745098,0.024096385542168676
1028,0.04597701149425288,0.06315789473684211,0.0625
1029,0.038461538461538464,0.03960396039603961,0.0
103,0.0,0.0,0.0
1030,0.12244897959183672,0.08571428571428572,0.1621621621621622
1031,0.05405405405405406,0.06779661016949151,0.05882352941176471
1032,0.028776978417266185,0.06779661016949151,0.0
1033,0.0,0.020618556701030924,0.0
1034,0.0,0.0,0.0
1035,0.030303030303030307,0.030303030303030307,0.0
1036,0.0,0.1090909090909091,0.028169014084507043
1037,0.052631578947368425,0.09523809523809523,0.0
1038,0.12121212121212122,0.12121212121212122,0.047619047619047616
1039,0.06060606060606061,0.06060606060606061,0.02631578947368421
104,0.06349206349206349,0.0404040404040404,0.06557377049180328
1040,0.0,0.0,0.0
1041,0.047058823529411764,0.0625,0.07692307692307693
1042,0.0,0.0,0.0
1043,0.04347826086956522,0.0,0.04081632653061225
1044,0.043010752688172046,0.08163265306122448,0.019801980198019806
1045,0.03773584905660378,0.0,0.0
1046,0.047619047619047616,0.028571428571428574,0.06779661016949151
1047,0.10526315789473684,0.12121212121212122,0.0
1048,0.23529411764705882,0.059701492537313446,0.14285714285714288
1049,0.03278688524590164,0.022988505747126436,0.06451612903225806
105,0.0,0.0,0.0
1050,0.0,0.0,0.0
1051,0.12903225806451613,0.163265306122449,0.19999999999999998
1052,0.039215686274509796,0.039999999999999994,0.027397260273972605
1053,0.18181818181818182,0.10344827586206896,0.09523809523809523
1054,0.02857142857142857,0.02247191011235955,0.013793103448275862
1055,0.0,0.034482758620689655,0.011627906976744186
1056,0.02777777777777778,0.0,0.0
1057,0.02222222222222222,0.02173913043478261,0.0
1058,0.044444444444444446,0.03125,0.0588235294117647
1059,0.07547169811320754,0.05333333333333332,0.048192771084337345
106,0.0,0.06060606060606061,0.05633802816901409
1060,0.041237113402061855,0.0625,0.029411764705882353
1061,0.14814814814814814,0.14285714285714288,0.2222222222222222
1062,0.048192771084337345,0.0,0.0
1063,0.021276595744680854,0.02777777777777778,0.03571428571428572
1064,0.05263157894736842,0.06666666666666667,0.02298850574712644
1065,0.5,0.19999999999999998,0.5
1066,0.10810810810810811,0.1176470588235294,0.037037037037037035
1067,0.05128205128205127,0.05128205128205127,0.04166666666666667
1068,0.044444444444444446,0.15789473684210528,0.15789473684210528
1069,0.09756097560975609,0.06666666666666667,0.1142857142857143
107,0.02985074626865672,0.011834319526627219,0.015503875968992248
1070,0.06557377049180328,0.07142857142857142,0.09756097560975609
1071,0.08163265306122448,0.07692307692307693,0.0
1072,0.011976047904191616,0.011560693641618497,0.0
1073,0.052631578947368425,0.0,0.0
1074,0.035398230088495575,0.03773584905660378,0.034782608695652174
1075,0.0,0.03278688524590164,0.0
1076,0.12121212121212122,0.12121212121212122,0.10256410256410257
1077,0.08695652173913045,0.08888888888888888,0.18181818181818182
1078,0.032,0.0,0.0
1079,0.02197802197802198,0.037037037037037035,0.03508771929824561
108,0.03418803418803419,0.02777777777777778,0.04597701149425288
1080,0.23529411764705882,0.23529411764705882,0.0
1081,0.0,0.0,0.0
1082,0.1111111111111111,0.034482758620689655,0.0689655172413793
1083,0.1081081081081081,0.1081081081081081,0.08695652173913045
1084,0.3076923076923077,0.3076923076923077,0.11764705882352941
1085,0.0,0.0,0.0
1086,0.06349206349206349,0.0,0.0
1087,0.08888888888888889,0.09756097560975609,0.1
1088,0.04347826086956522,0.03278688524590164,0.0
1089,0.0,0.0,0.0
109,0.06611570247933884,0.05797101449275362,0.0
1090,0.026666666666666665,0.0,0.0
1091,0.16666666666666669,0.13953488372093023,0.15384615384615385
1092,0.03571428571428572,0.042553191489361694,0.0
1093,0.06451612903225806,0.0625,0.0625
1094,0.0851063829787234,0.09756097560975609,0.07692307692307693
1095,0.05333333333333332,0.05194805194805195,0.13793103448275862
1096,0.09302325581395349,0.1081081081081081,0.0
1097,0.26666666666666666,0.26666666666666666,0.04347826086956522
1098,0.1081081081081081,0.04938271604938272,0.03960396039603961
1099,0.05882352941176471,0.02173913043478261,0.02777777777777778
11,0.05333333333333332,0.05797101449275362,0.0851063829787234
110,0.021978021978021976,0.024096385542168672,0.0
1100,0.0,0.0136986301369863,0.0
1101,0.05714285714285715,0.024390243902439022,0.0
1102,0.05,0.02380952380952381,0.028985507246376812
1103,0.046511627906976744,0.046511627906976744,0.0
1104,0.13333333333333333,0.13043478260869565,0.11320754716981131
1105,0.03738317757009346,0.08333333333333333,0.08695652173913045
1106,0.13043478260869565,0.061224489795918366,0.0821917808219178
1107,0.15384615384615385,0.05633802816901409,0.14814814814814814
1108,0.07692307692307693,0.07692307692307693,0.0
1109,0.1621621621621622,0.19354838709677416,0.1090909090909091
111,0.0625,0.06451612903225806,0.03333333333333333
1110,0.14285714285714288,0.2222222222222222,0.2222222222222222
1111,0.03389830508474576,0.03389830508474576,0.03389830508474576
1112,0.0,0.0,0.0
1113,0.0,0.0,0.0
1114,0.0821917808219178,0.07999999999999999,0.1276595744680851
1115,0.10256410256410256,0.02247191011235955,0.06349206349206349
1116,0.12244897959183672,0.09375,0.08333333333333334
1117,0.052631578947368425,0.05714285714285715,0.03278688524590164
1118,0.03418803418803419,0.06666666666666667,0.05882352941176471
1119,0.0851063829787234,0.09523809523809523,0.0
112,0.04166666666666667,0.0,0.0
1120,0.03225806451612903,0.07692307692307693,0.09523809523809523
1121,0.0,0.0,0.0
1122,0.08888888888888888,0.1,0.07692307692307693
1123,0.0851063829787234,0.05263157894736842,0.0
1124,0.0,0.020618556701030927,0.0
1125,0.18181818181818182,0.20512820512820512,0.15094339622641506
1126,0.0,0.0,0.0
1127,0.030303030303030307,0.0,0.0
1128,0.02197802197802198,0.01680672268907563,0.02631578947368421
1129,0.0909090909090909,0.04166666666666667,0.0
113,0.04166666666666667,0.04081632653061225,0.0
1130,0.25,0.25,0.14634146341463414
1131,0.0,0.03846153846153846,0.0
1132,0.1142857142857143,0.1081081081081081,0.1081081081081081
1133,0.0,0.0,0.0
1134,0.013513513513513513,0.012820512820512822,0.039999999999999994
1135,0.03389830508474576,0.0,0.0
1136,0.027027027027027025,0.02531645569620253,0.010638297872340425
1137,0.10256410256410257,0.1142857142857143,0.10256410256410257
1138,0.037037037037037035,0.037037037037037035,0.0
1139,0.0,0.0,0.0
114,0.07692307692307693,0.08333333333333333,0.11764705882352941
1140,0.09756097560975609,0.09756097560975609,0.125
1141,0.018181818181818184,0.02469135802469136,0.0
1142,0.014814814814814815,0.04166666666666667,0.0
1143,0.061224489795918366,0.028985507246376812,0.031746031746031744
1144,0.020833333333333336,0.027972027972027972,0.029411764705882356
1145,0.03076923076923077,0.039999999999999994,0.0
1146,0.018348623853211007,0.01904761904761905,0.0
1147,0.09090909090909091,0.049586776859504134,0.1075268817204301
1148,0.014388489208633093,0.03389830508474576,0.015873015873015872
1149,0.08333333333333333,0.04040404040404041,0.0
115,0.03278688524590164,0.02857142857142857,0.05405405405405406
1150,0.08695652173913045,0.08695652173913045,0.07843137254901959
1151,0.04545454545454545,0.03333333333333333,0.02439024390243903
1152,0.06060606060606061,0.06060606060606061,0.06060606060606061
1153,0.09999999999999999,0.09999999999999999,0.07692307692307693
1154,0.07692307692307693,0.07017543859649122,0.16
1155,0.02,0.0,0.02857142857142857
1156,0.09523809523809523,0.07407407407407407,0.09523809523809523
1157,0.0,0.0,0.0
1158,0.0,0.0,0.0
1159,0.012048192771084336,0.012578616352201257,0.0
116,0.023255813953488372,0.018018018018018018,0.0
1160,0.0851063829787234,0.08791208791208792,0.0898876404494382
1161,0.0,0.0,0.0
1162,0.0689655172413793,0.06451612903225806,0.07142857142857142
1163,0.06060606060606061,0.03773584905660378,0.0
1164,0.03225806451612903,0.029850746268656716,0.0
1165,0.0,0.0,0.023529411764705882
1166,0.06451612903225806,0.05607476635514019,0.06666666666666667
1167,0.3636363636363636,0.14814814814814814,0.1081081081081081
1168,0.10256410256410257,0.10256410256410257,0.0
1169,0.0,0.0,0.0
117,0.1,0.14634146341463414,0.14634146341463414
1170,0.0,0.13043478260869565,0.0
1171,0.039999999999999994,0.07692307692307693,0.046511627906976744
1172,0.03508771929824561,0.02857142857142857,0.02857142857142857
1173,0.1111111111111111,0.08333333333333333,0.0
1174,0.10714285714285715,0.13953488372093023,0.0
1175,0.03076923076923077,0.04597701149425288,0.026490066225165563
1176,0.06185567010309278,0.08,0.022988505747126436
1177,0.0,0.0,0.0
1178,0.044444444444444446,0.05660377358490566,0.08
1179,0.0,0.0,0.0
118,0.23529411764705882,0.23529411764705882,0.05555555555555555
1180,0.3157894736842105,0.15789473684210528,0.3157894736842105
1181,0.0,0.0,0.0
1182,0.024691358024691357,0.19354838709677416,0.0
1183,0.022988505747126436,0.0,0.0
1184,0.0,0.039999999999999994,0.0
1185,0.0851063829787234,0.09523809523809523,0.08333333333333333
1186,0.0,0.013245033112582783,0.0
1187,0.3636363636363636,0.2857142857142857,0.3076923076923077
1188,0.13333333333333333,0.1276595744680851,0.0
1189,0.09756097560975609,0.1081081081081081,0.1111111111111111
119,0.04,0.06593406593406592,0.0
1190,0.042553191489361694,0.02631578947368421,0.05
1191,0.11267605633802817,0.125,0.019999999999999997
1192,0.03738317757009346,0.052631578947368425,0.028571428571428574
1193,0.0,0.0,0.0
1194,0.0,0.025157232704402517,0.0
1195,0.07142857142857142,0.1081081081081081,0.08888888888888888
