qid,granite_dense,q2d_granite,q2d_corroborate
119,1.0,1.0,1.0
1190,1.0,1.0,1.0
1191,0.0,0.0,0.0
1192,1.0,1.0,1.0
1193,0.0,1.0,1.0
1194,0.0,1.0,0.0
1195,1.0,1.0,0.0
1196,0.0,0.0,0.0
1197,0.0,0.0,0.0
1198,0.0,0.0,0.0
1199,1.0,1.0,1.0
12,0.0,0.0,0.0
120,0.0,0.0,0.0
1200,1.0,1.0,1.0
1201,0.0,0.0,0.0
1202,1.0,1.0,1.0
1203,1.0,1.0,1.0
1204,0.0,0.0,0.0
1205,1.0,1.0,1.0
1206,1.0,1.0,1.0
1207,0.0,1.0,0.0
1208,0.0,1.0,0.0
1209,1.0,1.0,1.0
121,1.0,1.0,1.0
1210,1.0,1.0,1.0
1211,1.0,1.0,1.0
1212,1.0,1.0,1.0
1213,1.0,1.0,1.0
1214,1.0,1.0,1.0
1215,0.0,0.0,0.0
1216,1.0,1.0,1.0
1217,0.0,0.0,0.0
1218,1.0,1.0,1.0
1219,1.0,0.0,0.0
122,0.0,0.0,0.0
1220,0.0,0.0,0.0
1221,1.0,1.0,1.0
1222,1.0,1.0,1.0
1223,1.0,1.0,1.0
1224,0.0,0.0,0.0
1225,0.0,1.0,0.0
1226,0.0,0.0,0.0
1227,1.0,1.0,1.0
1228,1.0,1.0,1.0
1229,1.0,0.0,0.0
123,1.0,1.0,1.0
1230,0.0,1.0,1.0
1231,1.0,1.0,1.0
1232,1.0,1.0,1.0
1233,1.0,1.0,1.0
1234,1.0,1.0,1.0
1235,0.0,0.0,0.0
1236,0.0,1.0,1.0
1237,0.0,1.0,0.0
1238,1.0,0.0,1.0
1239,1.0,1.0,1.0
124,0.0,1.0,0.0
1240,1.0,1.0,1.0
1241,1.0,0.0,1.0
1242,0.0,0.0,0.0
1243,0.0,1.0,0.0
1244,1.0,1.0,1.0
1245,1.0,0.0,1.0
1246,0.0,0.0,0.0
1247,0.0,0.0,0.0
1248,0.0,0.0,0.0
1249,1.0,1.0,1.0
125,0.0,0.0,0.0
1250,1.0,1.0,0.0
1251,1.0,1.0,1.0
1252,0.0,0.0,0.0
1253,1.0,1.0,1.0
1254,1.0,0.0,0.0
1255,1.0,1.0,0.0
1256,0.0,1.0,0.0
1257,0.0,0.0,0.0
1258,0.0,0.0,0.0
1259,1.0,0.0,1.0
126,0.0,0.0,0.0
1260,1.0,1.0,1.0
1261,0.0,0.0,0.0
1262,0.0,1.0,1.0
1263,1.0,1.0,1.0
1264,1.0,1.0,1.0
1265,1.0,1.0,1.0
1266,0.0,1.0,0.0
1267,1.0,1.0,1.0
