qid,granite_dense,granite_small_dense,bm25,st_dense,gte_dense,e5_dense,bge_dense,hybrid_granite_bm25,hybrid_granite_small_bm25,granite_rerank,granite_small_rerank,hybrid_granite_bm25_rerank
10034,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0
10039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10109,0.3065735963827292,0.6131471927654584,0.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.18457569677956817,0.19342640361727081,0.2640681225725909,0.2640681225725909,0.23719771276929622
10122,0.20438239758848611,0.0,0.7903864795495061,0.0,0.0,0.2640681225725909,0.3065735963827292,0.5109559939712153,0.46845052016107697,0.0,0.0,0.0
10136,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.3065735963827292,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
10137,0.43067655807339306,0.0,0.0,0.3010299956639812,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
10152,0.48247555939075504,0.20438239758848611,0.21840743681816419,0.0,0.0,0.0,0.0,0.6131471927654584,0.23719771276929622,0.5012658353418871,0.5012658353418871,0.5012658353418871
10183,0.6309297535714575,0.0,1.0,0.2890648263178879,0.2890648263178879,0.0,0.2890648263178879,1.0,0.43067655807339306,0.2890648263178879,0.3010299956639812,0.2890648263178879
10213,1.0,1.0,0.0,1.0,1.0,1.0,0.6309297535714575,0.38685280723454163,0.3333333333333333,1.0,1.0,1.0
10246,0.3973220069685352,0.592512031964586,0.0,0.44149241373678083,0.32531670832675136,0.3638184934971571,0.3191471544989227,0.2856436410275446,0.407591902495008,0.3853585682515056,0.5085097626218706,0.32531670832675136
10267,1.0,0.5,0.38685280723454163,1.0,0.5,0.43067655807339306,0.5,0.5,0.5,1.0,1.0,1.0
104,1.0,0.8772153153380493,0.8315546295836225,1.0,0.8772153153380493,1.0,0.8315546295836225,1.0,0.9197207891481876,1.0,1.0,1.0
10414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,0.3562071871080222,0.0,0.0,0.6309297535714575,0.0,1.0,0.3562071871080222,0.0,0.0,0.0,0.0,0.0
10462,0.6052602440527057,0.5802792108518124,0.5437713091520254,0.46845052016107697,0.5912352048230277,0.5249810332008933,0.6509209298071326,0.6509209298071326,0.6509209298071326,0.5437713091520254,0.5437713091520254,0.5437713091520254
10482,0.3010299956639812,0.0,0.0,0.31546487678572877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10497,0.0,0.3010299956639812,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2890648263178879,0.0,0.0
10526,0.38685280723454163,0.6309297535714575,1.0,0.0,0.6309297535714575,1.0,1.0,0.5,1.0,0.5,0.5,0.5
10547,1.0,1.0,0.6131471927654584,0.7903864795495061,1.0,0.8315546295836225,1.0,0.8315546295836225,0.8175295903539445,1.0,1.0,1.0
