retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,ms_per_query
granite_dense,0.44135802469135804,0.2716049382716049,0.2080246913580247,0.12762345679012346,0.23021564341008785,0.3749234304789861,0.45449061398135476,0.5360139046481639,0.44135802469135804,0.41213972384744696,0.4334489356355934,0.45858053097909435,0.5362642073290221,52.055674996895334
bm25,0.2021604938271605,0.12345679012345678,0.09320987654320989,0.06188271604938272,0.09518364865587088,0.17012717649291723,0.21496718302273857,0.2780129849574294,0.2021604938271605,0.1831430721422744,0.1948583687651853,0.21668445500943226,0.27028586125808346,312.6126737777578
hybrid_granite_bm25,0.3271604938271605,0.2011316872427983,0.1537037037037037,0.11172839506172841,0.1634895754108717,0.27707290137845697,0.3430616751218603,0.4847509614870726,0.3271604938271605,0.30254219080157513,0.3204219923519934,0.37120874745444443,0.4273460464432687,372.5102536326754
convex_hybrid_granite_bm25,0.4645061728395062,0.2736625514403292,0.2064814814814815,0.12885802469135801,0.24247313900091677,0.3763159936771048,0.45336750012675947,0.5388174025905507,0.4645061728395062,0.4198426861151308,0.43851570667071793,0.46649742792203774,0.5486172349598276,367.53768919906753
