retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,ms_per_query
granite_dense,0.6433333333333333,0.2855555555555555,0.18999999999999997,0.10099999999999999,0.6148333333333333,0.7832222222222223,0.8397777777777778,0.8925555555555555,0.6433333333333333,0.7251789663246091,0.7487650474392256,0.7665175315928656,0.7298968253968254,37.80893055993753
bm25,0.51,0.23777777777777775,0.15199999999999997,0.08299999999999999,0.49416666666666664,0.6733333333333333,0.7051111111111111,0.7556666666666666,0.51,0.6045619892237521,0.6179867060839919,0.6359912686911698,0.6041415343915344,24.234662193339318
hybrid_granite_bm25,0.59,0.2566666666666666,0.16599999999999995,0.09633333333333333,0.569,0.7120555555555556,0.7598333333333332,0.8669444444444444,0.59,0.6647398538455463,0.6839559884971648,0.7190477822974618,0.6807962962962962,52.57149366351466
convex_hybrid_granite_bm25,0.6433333333333333,0.27888888888888885,0.18533333333333332,0.10166666666666666,0.6170555555555556,0.7682222222222223,0.8299444444444444,0.8981111111111111,0.6433333333333333,0.7177697838181709,0.743292152247886,0.7674423253953252,0.7295066137566137,52.682753916596994
