qid,granite_dense,gte_dense,bm25
119,0.0,0.25,0.0
1190,0.75,0.75,0.5
1191,0.25,0.5,0.25
1192,0.0,0.25,0.0
1193,0.0,0.0,0.0
1194,0.0,0.0,0.0
1195,0.75,1.0,0.25
1196,0.25,0.0,0.0
1197,0.0,0.0,0.25
1198,0.5,0.5,0.5
1199,0.25,0.5,0.75
12,0.25,0.25,0.25
120,0.25,0.25,0.0
1200,0.25,0.5,0.25
1201,0.5,0.75,0.5
1202,0.25,0.5,0.25
1203,0.75,0.75,0.25
1204,0.25,0.5,0.0
1205,0.25,0.25,0.0
1206,1.0,0.75,0.75
1207,0.0,0.0,0.0
1208,0.0,0.0,0.0
1209,0.25,0.25,0.0
121,0.5,0.75,0.75
1210,0.25,0.25,0.0
1211,0.5,0.25,0.0
1212,0.5,0.5,0.25
1213,0.75,0.75,0.0
1214,0.25,0.25,0.25
1215,0.25,0.0,0.0
1216,0.25,0.25,0.0
1217,0.25,0.25,0.0
1218,0.5,0.5,1.0
1219,0.25,0.25,0.25
122,0.0,0.5,0.5
1220,0.25,0.25,0.0
1221,1.0,1.0,1.0
1222,0.25,0.25,0.0
1223,0.5,0.75,0.25
1224,0.25,0.25,0.0
1225,0.0,0.0,0.25
1226,0.75,0.75,0.0
1227,0.5,0.5,0.25
1228,0.5,0.5,0.5
1229,0.0,0.0,0.0
123,0.25,0.25,0.0
1230,0.5,0.25,0.0
1231,0.25,0.25,0.0
1232,0.0,0.25,0.0
1233,0.25,0.25,0.0
1234,0.25,0.25,0.0
1235,0.25,0.25,0.0
1236,0.25,0.25,0.25
1237,0.5,0.25,1.0
1238,0.75,0.75,0.5
1239,0.75,1.0,0.75
124,0.25,0.25,0.25
1240,0.25,0.0,0.0
1241,0.25,0.25,0.0
1242,0.0,0.0,0.0
1243,0.0,0.5,0.0
1244,1.0,1.0,1.0
1245,0.25,0.25,0.25
1246,0.5,0.5,0.0
1247,0.0,0.0,0.0
1248,0.0,0.25,0.0
1249,0.5,0.25,0.0
125,0.25,0.0,0.0
1250,0.0,0.0,0.0
1251,0.25,0.25,0.0
1252,0.5,0.5,0.25
1253,0.25,0.25,0.25
1254,0.0,0.0,0.0
1255,0.5,0.5,0.0
1256,0.0,0.0,0.0
1257,0.25,0.25,0.0
1258,0.25,0.5,0.0
1259,0.0,0.5,0.75
126,0.0,0.0,0.0
1260,0.5,0.75,0.5
1261,0.25,0.25,0.0
1262,0.0,0.0,0.0
1263,0.25,0.5,0.25
1264,0.5,0.5,0.0
1265,0.5,0.5,0.0
1266,0.25,0.5,1.0
1267,0.5,0.5,0.5
1268,0.25,0.0,0.0
1269,0.25,0.0,0.0
127,0.75,0.75,0.25
1270,0.5,0.5,0.5
1271,0.25,0.25,0.0
1272,0.25,0.0,0.0
1273,0.0,0.0,0.0
1274,0.75,0.75,0.5
1275,0.75,1.0,0.75
1276,1.0,1.0,0.25
1277,0.5,0.5,0.5
1278,0.0,0.0,0.0
1279,0.25,0.5,0.25
128,0.25,0.25,0.0
1280,1.0,1.0,0.75
1281,0.25,0.25,0.25
1282,0.0,0.0,0.0
1283,0.0,0.0,0.0
1284,0.25,0.25,0.25
1285,0.25,0.25,0.0
1286,0.5,0.0,0.0
1287,0.75,0.5,0.75
1288,0.0,0.0,0.0
1289,0.5,0.5,0.25
129,0.75,0.75,0.25
1290,0.25,0.25,0.0
1291,0.0,0.0,0.0
1292,0.5,0.25,0.5
1293,0.5,0.5,0.0
1294,0.5,0.5,0.0
1295,0.25,0.25,0.0
1296,1.0,1.0,0.75
1297,0.25,0.5,0.0
1298,0.25,0.0,0.25
1299,0.25,0.25,0.0
13,0.25,0.0,0.0
130,0.0,0.25,0.25
1300,0.25,0.25,0.0
1301,0.25,0.0,0.25
1302,0.25,0.25,0.0
1303,0.5,0.5,0.75
1304,0.0,0.0,0.0
1305,0.0,0.25,0.25
1306,0.25,0.0,0.0
1307,0.0,0.0,0.0
1308,0.5,0.75,0.5
1309,0.0,0.0,0.0
131,0.25,0.25,0.25
1310,0.0,0.0,0.0
1311,0.0,0.25,0.0
1312,0.0,0.0,0.0
1313,0.5,0.25,0.25
1314,0.75,1.0,1.0
1315,0.75,0.5,0.5
1316,0.5,0.5,0.25
1317,0.0,0.0,0.25
1318,0.5,0.5,0.5
1319,0.5,0.5,0.75
132,0.0,0.25,0.0
1320,0.5,0.25,0.0
1321,0.0,0.0,0.0
1322,0.25,0.0,0.5
1323,0.25,0.75,0.0
1324,0.25,0.25,0.0
1325,0.0,0.0,0.0
1326,0.75,0.75,0.75
1327,0.75,0.75,0.25
1328,0.25,0.25,0.25
1329,0.5,0.75,0.0
133,0.0,0.0,0.0
1330,0.0,0.0,0.0
1331,0.5,0.25,0.0
1332,0.75,0.75,0.5
1333,0.0,0.25,0.0
1334,0.25,0.25,0.0
1335,0.0,0.0,0.0
1336,0.25,0.0,0.0
1337,1.0,1.0,1.0
1338,0.75,0.75,0.5
1339,0.25,0.25,0.0
134,0.25,0.25,0.0
1340,1.0,0.5,0.25
1341,0.5,0.25,0.0
1342,0.25,0.25,0.0
1343,0.25,0.5,0.0
1344,0.75,0.75,0.25
1345,0.0,0.0,0.0
1346,0.5,0.5,0.25
1347,0.5,0.5,0.25
1348,0.75,0.75,0.25
1349,0.75,0.75,0.75
