qid,granite_dense
0,0.0
1,0.6666666666666666
10,1.0
100,1.0
1000,1.0
1001,1.0
1002,0.6086956521739131
1003,0.6
1004,0.0
1005,1.0
1006,1.0
1007,0.0
1008,1.0
1009,0.0
101,0.3333333333333333
1010,1.0
1011,1.0
1012,1.0
1013,0.0
1014,0.0
1015,0.0
1016,1.0
1017,0.0
1018,1.0
1019,1.0
102,1.0
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1024,1.0
1025,1.0
1026,1.0
1027,0.0
1028,0.6
1029,0.3333333333333333
103,0.7647058823529411
1030,0.0
1031,0.6666666666666666
1032,1.0
1033,1.0
1034,0.3076923076923077
1035,0.0
1036,0.0
1037,1.0
1038,0.8
1039,0.76
104,1.0
1040,0.0
1041,1.0
1042,0.5357142857142857
1043,0.0
1044,1.0
1045,1.0
1046,0.5714285714285714
1047,0.0
1048,1.0
1049,0.0
105,0.4
1050,0.4
1051,0.3333333333333333
1052,0.0
1053,1.0
1054,0.37142857142857144
1055,1.0
1056,0.0
1057,1.0
1058,1.0
1059,0.5
106,1.0
1060,1.0
1061,0.0
1062,0.0
1063,0.7857142857142857
1064,1.0
1065,1.0
1066,0.5575221238938053
1067,1.0
1068,1.0
1069,1.0
107,0.6666666666666666
1070,0.5
1071,0.0
1072,0.0
1073,0.0
1074,0.6666666666666666
1075,0.3333333333333333
1076,1.0
1077,1.0
1078,1.0
1079,0.5
108,1.0
1080,0.0
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,0.5
1086,1.0
1087,1.0
1088,0.0
1089,0.5
109,1.0
1090,1.0
1091,1.0
1092,0.5
1093,1.0
1094,1.0
1095,0.0
1096,1.0
1097,0.5
1098,1.0
1099,1.0
11,0.782608695652174
110,1.0
1100,0.25
1101,0.0
1102,1.0
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1107,1.0
1108,1.0
1109,1.0
111,1.0
1110,1.0
1111,1.0
1112,0.5
1113,0.0
1114,1.0
1115,1.0
1116,0.0
1117,0.6
1118,0.6153846153846154
1119,1.0
112,0.0
1120,1.0
1121,0.9333333333333333
1122,0.4444444444444444
1123,1.0
1124,0.6666666666666666
1125,0.8
1126,0.0
1127,0.2
1128,1.0
1129,0.4444444444444444
113,1.0
1130,1.0
1131,0.0
1132,1.0
1133,0.0
1134,0.6551724137931034
1135,1.0
1136,1.0
1137,1.0
1138,1.0
1139,1.0
114,0.5
1140,1.0
1141,0.25
1142,1.0
1143,0.47368421052631576
1144,0.5
1145,1.0
1146,1.0
1147,0.2903225806451613
1148,1.0
1149,0.0
115,1.0
1150,1.0
1151,1.0
1152,1.0
1153,1.0
1154,1.0
1155,1.0
1156,0.5
1157,1.0
1158,0.0
1159,0.6363636363636364
116,1.0
1160,1.0
1161,0.3125
1162,1.0
1163,1.0
1164,0.18518518518518517
1165,0.25
1166,1.0
1167,1.0
1168,1.0
1169,0.0
117,1.0
1170,1.0
1171,1.0
1172,1.0
1173,1.0
1174,1.0
1175,0.5
1176,0.3333333333333333
1177,0.0
1178,0.5
1179,0.375
118,0.3333333333333333
1180,1.0
1181,0.4
1182,0.6666666666666666
1183,0.0
1184,0.6666666666666666
1185,1.0
1186,1.0
1187,1.0
1188,1.0
1189,1.0
119,0.3333333333333333
1190,1.0
1191,0.21428571428571427
1192,1.0
1193,0.2
1194,0.0
1195,1.0
1196,0.1111111111111111
1197,1.0
1198,0.6875
1199,1.0
12,1.0
120,1.0
1200,1.0
1201,0.5
1202,1.0
1203,1.0
1204,1.0
1205,1.0
1206,1.0
1207,1.0
1208,0.6666666666666666
1209,1.0
121,1.0
1210,1.0
1211,1.0
1212,1.0
1213,1.0
1214,1.0
1215,1.0
1216,0.3
1217,0.75
1218,1.0
1219,0.0
122,0.0
1220,1.0
1221,1.0
1222,0.5116279069767442
1223,1.0
1224,0.6666666666666666
1225,0.0
1226,1.0
1227,0.6666666666666666
1228,1.0
1229,0.2777777777777778
123,1.0
1230,1.0
1231,0.0
1232,0.23333333333333334
1233,1.0
1234,0.0
1235,0.0
1236,0.0
1237,0.6666666666666666
1238,0.5
1239,1.0
124,1.0
1240,1.0
1241,0.0
1242,0.0
1243,0.0
1244,1.0
1245,1.0
1246,0.6666666666666666
1247,1.0
1248,0.5714285714285714
1249,1.0
125,0.6666666666666666
1250,1.0
1251,0.5
1252,1.0
1253,1.0
1254,0.625
1255,0.6086956521739131
1256,0.6666666666666666
1257,1.0
1258,1.0
1259,1.0
126,0.3333333333333333
1260,0.3333333333333333
1261,1.0
1262,0.0
1263,0.6666666666666666
1264,1.0
1265,0.0
1266,0.0
1267,1.0
