qid,granite_dense,q2d_granite,q2d_corroborate
117,1.0,1.0,1.0
1170,1.0,1.0,1.0
1171,1.0,1.0,1.0
1172,0.0,1.0,1.0
1173,1.0,1.0,1.0
1174,1.0,1.0,1.0
1175,0.0,0.25,0.0
1176,0.4,0.8,0.0
1177,0.0,0.2222222222222222,1.0
1178,0.0,0.8,0.8
1179,0.0,0.0,0.0
118,0.8571428571428571,0.8571428571428571,0.0
1180,0.7499999999999999,0.7499999999999999,0.7499999999999999
1181,0.0,1.0,1.0
1182,1.0,1.0,1.0
1183,0.0,0.0,0.0
1184,0.0,0.0,0.0
1185,1.0,1.0,1.0
1186,0.0,1.0,1.0
1187,1.0,1.0,1.0
1188,1.0,1.0,1.0
1189,1.0,1.0,1.0
119,0.42857142857142855,0.42857142857142855,0.42857142857142855
1190,1.0,1.0,1.0
1191,0.0,0.0,0.0
1192,1.0,0.8,1.0
1193,0.0,1.0,1.0
1194,0.0,0.08163265306122448,0.0
1195,0.21052631578947367,0.23529411764705882,0.0
1196,0.23529411764705882,0.23529411764705882,0.23529411764705882
1197,0.0,0.0,0.0
1198,0.5,0.5,0.5
1199,1.0,1.0,1.0
12,0.0,0.0,0.0
120,0.0,0.0,0.0
1200,1.0,1.0,1.0
1201,0.0,0.0,0.0
1202,1.0,1.0,1.0
1203,0.4444444444444445,1.0,1.0
1204,0.4,0.4,0.4
1205,1.0,1.0,1.0
1206,1.0,1.0,1.0
1207,0.5,1.0,0.5
1208,0.1111111111111111,0.33333333333333337,0.16666666666666666
1209,0.14285714285714288,0.6666666666666666,0.6666666666666666
121,1.0,1.0,1.0
1210,1.0,1.0,1.0
1211,1.0,1.0,1.0
1212,1.0,1.0,1.0
1213,1.0,1.0,1.0
1214,1.0,1.0,1.0
1215,0.3333333333333333,0.3333333333333333,0.8571428571428571
1216,1.0,1.0,1.0
1217,0.4,0.4,0.4
1218,1.0,1.0,1.0
1219,1.0,0.0,0.0
122,0.4,0.4,0.4
1220,0.0,0.0,0.0
1221,1.0,1.0,0.5
1222,0.024999999999999998,0.031746031746031744,0.031746031746031744
1223,1.0,1.0,1.0
1224,0.5,0.5,0.5
1225,0.0,1.0,0.0
1226,0.0,0.0,0.0
1227,1.0,1.0,1.0
1228,1.0,1.0,1.0
1229,0.2608695652173913,0.0,0.0
123,0.16,0.25,0.25
1230,0.8,1.0,1.0
1231,0.6666666666666666,0.3636363636363636,0.3636363636363636
1232,0.15384615384615385,0.10256410256410257,0.10256410256410257
1233,1.0,1.0,1.0
1234,1.0,1.0,1.0
1235,0.0,0.0,0.0
1236,0.4,0.8,0.8
1237,0.0,0.5,0.0
1238,0.6666666666666666,0.0,0.6666666666666666
1239,1.0,1.0,1.0
124,0.5,0.5,0.5
1240,1.0,0.3,0.375
1241,1.0,0.0,1.0
1242,0.0,0.0,0.0
1243,0.0,0.4,0.0
1244,1.0,1.0,1.0
1245,0.5454545454545454,0.30769230769230765,0.4615384615384615
1246,0.0,0.0,0.0
1247,0.0,0.0,0.0
1248,0.5714285714285715,0.5714285714285715,0.5714285714285715
1249,1.0,1.0,1.0
125,0.5,0.5,0.5
1250,1.0,1.0,0.0
1251,1.0,1.0,1.0
1252,0.8,0.5714285714285715,0.5714285714285715
1253,1.0,1.0,1.0
1254,0.2222222222222222,0.0,0.0
1255,0.5714285714285715,0.5,0.0
1256,0.0,1.0,0.0
1257,0.0,0.0,0.0
1258,0.0,0.0,0.0
1259,1.0,0.0,0.02985074626865672
126,0.0,0.0,0.5
1260,0.6666666666666666,0.6666666666666666,0.6666666666666666
1261,0.0,0.0,0.0
1262,0.0,1.0,1.0
1263,0.17647058823529413,0.16666666666666669,0.19354838709677416
1264,0.6666666666666666,0.6666666666666666,0.11764705882352941
1265,1.0,1.0,0.5714285714285715
1266,0.0,0.022727272727272724,0.0
1267,0.5882352941176471,0.5882352941176471,0.5882352941176471
