qid,granite_dense,bm25,splade,convex_hybrid_granite_bm25,convex_hybrid_granite_splade
10034,1.0,0.0,1.0,1.0,1.0
10039,0.0,0.0,0.0,0.0,0.0
10109,0.3065735963827292,0.0,0.0,0.2640681225725909,0.23719771276929622
10122,0.20438239758848611,0.7903864795495061,0.23719771276929622,0.38685280723454163,0.2640681225725909
10136,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
10137,0.43067655807339306,0.0,0.0,0.3562071871080222,0.38685280723454163
10152,0.48247555939075504,0.21840743681816419,0.5802792108518124,0.8065735963827293,0.5437713091520254
10183,0.6309297535714575,1.0,0.0,1.0,0.38685280723454163
10213,1.0,0.0,0.6309297535714575,1.0,1.0
10246,0.3973220069685352,0.0,0.13905617951077562,0.369453583111095,0.44149241373678083
10267,1.0,0.38685280723454163,0.5,0.5,0.6309297535714575
104,1.0,0.8315546295836225,0.9197207891481876,1.0,1.0
10414,0.0,0.0,0.0,0.0,0.0
10447,0.3562071871080222,0.0,0.0,0.0,0.31546487678572877
10462,0.6052602440527057,0.5437713091520254,0.6240505200038379,0.6509209298071326,0.6240505200038379
10482,0.3010299956639812,0.0,0.0,0.0,0.0
10497,0.0,0.0,0.0,0.0,0.0
10526,0.38685280723454163,1.0,0.6309297535714575,0.43067655807339306,0.43067655807339306
10547,1.0,0.6131471927654584,1.0,1.0,1.0
10558,0.20210734650054757,0.0,0.5307212739772434,0.3235866969737877,0.6508205185601091
10596,0.0,0.0,0.0,0.0,0.0
106,0.18154179253735267,0.15642624200758548,0.14126697285982898,0.23463936301137822,0.20210734650054757
10601,0.6364391809889587,0.13565197343244778,0.2960819109658652,0.6364391809889587,0.6364391809889587
10628,0.6131471927654584,0.0,0.6131471927654584,0.6131471927654584,0.6131471927654584
10639,1.0,0.38685280723454163,0.5,0.6309297535714575,0.6309297535714575
10645,0.6309297535714575,0.43067655807339306,0.0,1.0,0.5
10674,0.8503449055347546,0.6131471927654584,0.4911492931622974,0.7903864795495061,0.8772153153380493
10710,0.8451850618939637,0.6364391809889587,0.2960819109658652,0.8385465274895063,0.7920874914199381
10734,0.0,0.0,0.0,0.0,0.0
1074,1.0,0.43067655807339306,0.6309297535714575,1.0,1.0
10792,0.18154179253735267,0.0,0.0,0.1480409554829326,0.15642624200758548
10808,0.38685280723454163,0.0,0.0,0.0,0.31546487678572877
10809,0.9060254355346823,1.0,1.0,1.0,1.0
10812,0.0,0.0,0.0,0.0,0.0
10827,0.3065735963827292,0.0,0.20438239758848611,0.3065735963827292,0.3065735963827292
10845,0.0,0.16716045496620227,0.46927872602275644,0.0,0.0
1085,1.0,1.0,1.0,1.0,1.0
109,0.0,0.0,0.0,0.0,0.0
1090,1.0,0.0,1.0,0.6309297535714575,1.0
10912,1.0,0.0,1.0,1.0,1.0
10932,0.24630238874073,0.0,0.0,0.19519002499605084,0.24630238874073
10975,0.0,0.0,0.0,0.0,0.0
10979,0.0,0.0,0.0,0.0,0.0
10994,0.6131471927654584,0.7903864795495061,0.8175295903539445,0.6131471927654584,0.7903864795495061
11039,0.5706417189553201,0.0,0.0,0.8503449055347546,0.8503449055347546
11054,0.5,0.6309297535714575,0.0,0.6309297535714575,0.5
11088,0.3903800499921017,0.3903800499921017,0.3903800499921017,0.3903800499921017,0.3903800499921017
1150,0.6713860725233041,0.0,0.49818925746641285,0.6508205185601091,0.7720911544214064
1157,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.7653606369886217
1159,0.23599633571930026,0.5585075862632192,0.5413996682199069,0.4087948353979096,0.2429718246796358
1198,0.14606834984270645,0.11305340175787204,0.1208113026994942,0.34519134224686937,0.3391602052736161
1230,0.18154179253735267,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.46927872602275644
1281,0.0,0.0,0.0,0.0,0.0
