qid,granite_dense,q2d_granite
124,0.7777777777777778,1.0
1240,1.0,1.0
1241,1.0,1.0
1242,0.0,1.0
1243,0.3333333333333333,0.3333333333333333
1244,1.0,1.0
1245,1.0,1.0
1246,1.0,1.0
1247,1.0,0.7317073170731707
1248,1.0,1.0
1249,1.0,1.0
125,1.0,1.0
1250,1.0,1.0
1251,1.0,1.0
1252,1.0,1.0
1253,1.0,1.0
1254,0.8333333333333334,1.0
1255,0.45454545454545453,0.9166666666666666
1256,1.0,1.0
1257,1.0,1.0
1258,1.0,1.0
1259,1.0,0.7931034482758621
126,1.0,1.0
1260,1.0,1.0
1261,1.0,1.0
1262,0.3076923076923077,0.0
1263,0.5,1.0
1264,0.36363636363636365,0.36363636363636365
1265,1.0,1.0
1266,1.0,1.0
1267,1.0,1.0
