alpha,ndcg@10
0.0,0.30260337121141273
0.05,0.31589909415975587
0.1,0.3217776311311586
0.15,0.3288970568244124
0.2,0.3344355873820527
0.25,0.3418453498617823
0.3,0.35006892874384815
0.35,0.35531133392515485
0.4,0.36123035118519475
0.45,0.3665147584062446
0.5,0.3724609504226627
0.55,0.381513267761196
0.6,0.3857104780142741
0.65,0.38806175200164394
0.7,0.3880484621361867
0.75,0.3866727902428101
0.8,0.3880411410024227
0.85,0.3847902938347629
0.9,0.38218017887101735
0.95,0.38063706419310617
1.0,0.37567789702298043
