qid,granite_dense,bm25,splade,convex_hybrid_granite_bm25,convex_hybrid_granite_splade
PLAIN-1008,0.0,0.0,0.0,0.0,0.0
PLAIN-1018,0.576323354912681,0.8701249883466593,0.84860265890399,0.6403089930936581,0.7191184989488184
PLAIN-102,0.6969383549984332,0.6780494608112012,0.6969383549984332,0.6719377023185354,0.7453016244178956
PLAIN-1028,0.8701249883466593,0.727329844310522,0.727329844310522,0.8701249883466593,0.800693766409882
PLAIN-1039,0.388244052766991,0.0,0.22009176629808017,0.18340980524840012,0.37185395737611554
PLAIN-1050,0.3589542101716347,0.3589542101716347,0.3589542101716347,0.3589542101716347,0.3589542101716347
PLAIN-1066,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946,0.2489083270225946
PLAIN-1088,0.5352543167750639,0.5958595188912912,0.6489315753318465,0.642186726668901,0.6489315753318465
PLAIN-1098,0.0,0.0,0.0,0.0,0.0
PLAIN-1109,0.0,0.0,0.0,0.0,0.0
PLAIN-1119,1.0,1.0,1.0,1.0,1.0
PLAIN-112,0.0,0.0,0.0,0.0,0.0
PLAIN-1130,0.0,0.0,0.0,0.0,0.0
PLAIN-1141,0.7909008953676248,0.8025111649801716,0.8050258092765824,0.7841568027568648,0.857946860438754
PLAIN-1151,0.3332594386367449,0.2529427027676571,0.12647135138382856,0.3008855942920819,0.3008855942920819
PLAIN-1161,0.0,0.46927872602275644,0.2960819109658652,0.16716045496620227,0.1480409554829326
PLAIN-1172,0.0,0.30260241349881345,0.30260241349881345,0.19092086617893467,0.19092086617893467
PLAIN-1183,0.606439180544341,0.7467045958894682,0.6203974344166848,0.6691255538181726,0.5009732673492616
PLAIN-1193,0.6969383549984332,0.6281460426238844,0.7421246259355073,0.7631925784528223,0.9216017310213247
PLAIN-12,0.06362078819895171,0.521098444712307,0.4269620754585236,0.4826366372598628,0.21819512777734998
PLAIN-1203,0.9305687780632227,0.9363792118010483,0.9305687780632227,0.914856882358379,0.9052116356304493
PLAIN-1214,0.6032621820619528,0.25469837558210445,0.6180396628416763,0.6364741801035539,0.5587148206871071
PLAIN-1225,0.5779050396291792,0.6473362615659566,0.5357086937004182,0.5829393865084944,0.5166851630541054
PLAIN-123,0.6950826685175006,0.3903787400893656,0.29882661826039614,0.6285907887106195,0.6199644957746708
PLAIN-1236,0.6309297535714575,1.0,1.0,1.0,1.0
PLAIN-1249,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.6489315753318465
PLAIN-1262,0.9266360779006401,0.5352543167750639,0.9266360779006401,0.7631925784528223,1.0
PLAIN-1275,0.0,0.0,0.0,0.0,0.0
PLAIN-1288,0.7859162856301584,0.3589542101716347,0.5653701424067237,0.7967610662472993,0.7788065869851872
PLAIN-1299,0.13886244387355454,0.0,0.0,0.11004588314904008,0.11004588314904008
PLAIN-1309,0.0,0.1482972305701491,0.1482972305701491,0.11752277470724268,0.11752277470724268
PLAIN-1320,0.843706044175124,0.644824486427155,0.644824486427155,0.843706044175124,0.7402849195166222
PLAIN-133,1.0,1.0,1.0,1.0,1.0
PLAIN-1331,0.0,0.0,0.0,0.0,0.0
PLAIN-1342,0.42049964660493067,0.0,0.0,0.14201905717762703,0.13305201013572898
PLAIN-1353,0.5224955967919311,0.28762634971412726,0.4537425745411855,0.5239294981581574,0.5473983622993502
PLAIN-1363,0.07414861528507455,0.38334277998463445,0.38334277998463445,0.31339406588598046,0.31339406588598046
PLAIN-1374,0.9216017310213247,0.857980942822373,0.9363792118010483,0.866947989864271,0.9363792118010483
PLAIN-1387,0.0,0.0,0.0,0.0,0.0
PLAIN-1398,0.23504554941448536,0.23504554941448536,0.38334277998463445,0.38334277998463445,0.38334277998463445
PLAIN-1409,0.0,0.0,0.0,0.0,0.0
PLAIN-1419,0.642186726668901,0.5670429581667766,0.6489315753318465,0.6371523797895856,0.715550648768261
PLAIN-1429,0.0,0.0,0.0,0.0,0.0
PLAIN-143,0.09478836436955078,0.09478836436955078,0.2082936658103318,0.13886244387355454,0.13886244387355454
PLAIN-1441,0.7222954974312066,0.3398414932237254,0.7778721720600673,0.7125523635307982,0.7909506325094737
PLAIN-1453,0.11004588314904008,0.08514311764162098,0.22009176629808017,0.13886244387355454,0.22009176629808017
PLAIN-1463,0.0,0.0,0.0,0.0,0.0
PLAIN-1473,0.0,0.0,0.0,0.0,0.0
PLAIN-1485,0.44615333764087994,0.4599715079731103,0.3391602052736161,0.5531464700081437,0.5531464700081437
PLAIN-1496,0.6049444897881109,0.25543736465814,0.31204907722178066,0.5930533828655113,0.5757398856343413
PLAIN-1506,0.0,0.0,0.0,0.0,0.0
PLAIN-1516,0.0,0.0,0.0,0.0,0.0
PLAIN-1527,0.0,0.0,0.0,0.0,0.0
PLAIN-153,0.5423640154200349,0.23047380976071707,0.14201905717762703,0.3633412872595719,0.5053603444371989
PLAIN-1537,0.3471357245055706,0.5100691314582919,0.5552448576790283,0.42914113378860647,0.4883491838252097
PLAIN-1547,0.0,0.0,0.0,0.0,0.0
PLAIN-1557,0.5087403079104241,0.5531464700081437,0.5531464700081437,0.5531464700081437,0.5531464700081437
PLAIN-1568,0.0,0.0,0.0,0.0,0.0
PLAIN-1579,0.0,0.0,0.0,0.0,0.0
PLAIN-1590,0.11004588314904008,0.0,0.0,0.13886244387355454,0.08514311764162098
PLAIN-1601,0.4346298575932762,0.0,0.23944085680261515,0.4346298575932762,0.41320541532308547
PLAIN-1611,0.0,0.0,0.0,0.0,0.0
PLAIN-1621,0.0,0.0,0.0,0.0,0.0
PLAIN-1635,0.6086182388744239,0.43735247915031,0.5231737964779628,0.5836175861945262,0.5541432109622958
PLAIN-1645,0.0,0.0,0.0,0.0,0.0
PLAIN-165,0.0,0.0,0.0,0.0,0.0
PLAIN-1656,0.1736666713479918,0.20483424751859086,0.15457433957839825,0.17947710508581735,0.1736666713479918
PLAIN-1667,0.25264076317831785,0.15514952592378176,0.09508977831648076,0.36783640800544093,0.43310041718927056
PLAIN-1679,0.7089004727756366,0.13347537859706934,0.5958577407149078,0.6019941558034085,0.7073034172671887
PLAIN-1690,0.5289638450374726,0.16421958630632802,0.3995688713838975,0.38113435412202,0.4351098955930419
PLAIN-1700,0.5105898475546079,0.33895354522071425,0.40121870129047105,0.4114367352038945,0.5917790329020923
PLAIN-1710,0.2811784572776439,0.4353779326463506,0.0,0.5404075384463198,0.17558217246012234
PLAIN-1721,0.10972431200457415,0.12652791809394925,0.0,0.290005742888632,0.2239904079101565
PLAIN-1731,0.6637908580929228,0.7721596254947203,0.8581437227514841,0.735099813604943,0.6868037996043077
PLAIN-1741,0.1499525158487472,0.10704185718492083,0.3033608001768468,0.16365329800063497,0.2409404677898341
PLAIN-175,0.22009176629808017,0.22009176629808017,0.22009176629808017,0.22009176629808017,0.22009176629808017
PLAIN-1752,0.9652843890316114,0.9260852545422736,0.9668728882728055,0.9315076448508441,0.9668728882728055
PLAIN-1762,0.2825761277563703,0.3336412091531361,0.5048899707721091,0.5370815745454317,0.4260009724637218
PLAIN-1772,0.23840405768933337,0.14397047852848383,0.09077394133714937,0.3686831603604652,0.26835994923757794
PLAIN-1784,0.9363792118010483,0.7849818707050383,0.8701249883466593,0.9363792118010483,0.9363792118010483
PLAIN-1794,0.3180396301625113,0.15423215925316425,0.24445218882151876,0.24445218882151876,0.24445218882151876
PLAIN-1805,0.31226233291544175,0.37456050428247883,0.3941769500918012,0.3388812950446278,0.31810863635132614
PLAIN-1817,0.4537425745411855,0.3589542101716347,0.3589542101716347,0.4537425745411855,0.4690000933206748
PLAIN-1827,0.16961510979410432,0.10359825042259051,0.06571108366710597,0.12254183380033279,0.11466242738732028
PLAIN-1837,0.5998254955960036,0.1940955508805761,0.6499590469680815,0.5998254955960036,0.6499590469680815
PLAIN-1847,0.49912026938777576,0.28952298823485745,0.21101571757181778,0.4568105713392093,0.4626749492735166
PLAIN-1857,0.8974416663360282,0.22009176629808017,0.13886244387355454,0.8398027422266441,0.7175867104101135
PLAIN-186,0.09478836436955078,0.22009176629808017,0.1635413866202963,0.13886244387355454,0.17630010660342912
PLAIN-1867,0.933745776545611,0.4440973278132557,0.7151857987862356,0.7183627972686238,0.800693766409882
PLAIN-1877,0.6317299614276957,0.6009053751727895,0.5667390937358099,0.6643047921156021,0.63008927118323
PLAIN-1887,0.696162268139923,0.43231813227099475,0.3995688713838975,0.6122496142821665,0.568003577662161
PLAIN-1897,0.24655055544758614,0.1681522864689108,0.2984900352767555,0.23440650992329987,0.2685529228900211
PLAIN-1909,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831
PLAIN-1919,0.4443059129387836,0.38225200651112173,0.46719689684692656,0.2882001116838787,0.3979514306711175
PLAIN-1929,0.7628045350235669,0.11004588314904008,0.396014022061412,0.6339753813071974,0.7095525176812538
PLAIN-1940,0.41528076708874123,0.22009176629808017,0.22009176629808017,0.2934556883974402,0.22009176629808017
PLAIN-1950,0.5562095200447539,0.1890570933316362,0.2996484034259831,0.5009138649975804,0.5223051443804524
PLAIN-196,0.0,0.06943122193677727,0.0,0.0,0.0
PLAIN-1962,0.6708298207508385,0.5243615183777302,0.617085055228343,0.6263380278851488,0.6665181205254729
PLAIN-1972,0.3570764765963919,0.17673466814601568,0.18143400269436502,0.31833954895937183,0.5127524628915227
PLAIN-1983,0.7899521877203068,0.34062143532990763,0.5459681405017656,0.5796856454670315,0.7381255377435216
PLAIN-1995,0.7654291710816226,0.45545502446461517,0.7335190055523998,0.6653085338312478,0.7638321155731748
PLAIN-2,0.0,0.0,0.0,0.0,0.0
PLAIN-2009,0.501497501605074,0.5560371451169083,0.6632624234669381,0.6185433621370644,0.5981885581464398
PLAIN-2019,0.4050322018673231,0.0,0.0,0.25152868873664785,0.26612017649871916
PLAIN-2030,0.32336634959917104,0.3899358445195752,0.3916067959072707,0.5515071803632671,0.3834927366315414
PLAIN-2040,0.4521747390582773,0.39744165090973377,0.4820408043717211,0.46108067553779086,0.48125049454682667
